date,cases,deaths
21-01-20,1,0
22-01-20,1,0
23-01-20,1,0
24-01-20,2,0
25-01-20,3,0
26-01-20,5,0
27-01-20,5,0
28-01-20,5,0
29-01-20,5,0
30-01-20,6,0
31-01-20,7,0
01-02-20,8,0
02-02-20,11,0
03-02-20,11,0
04-02-20,11,0
05-02-20,12,0
06-02-20,12,0
07-02-20,12,0
08-02-20,12,0
09-02-20,12,0
10-02-20,13,0
11-02-20,13,0
12-02-20,14,0
13-02-20,15,0
14-02-20,15,0
15-02-20,15,0
16-02-20,15,0
17-02-20,25,0
18-02-20,25,0
19-02-20,25,0
20-02-20,27,0
21-02-20,30,0
22-02-20,30,0
23-02-20,30,0
24-02-20,43,0
25-02-20,45,0
26-02-20,60,0
27-02-20,60,0
28-02-20,65,0
29-02-20,70,1
01-03-20,88,3
02-03-20,104,6
03-03-20,125,10
04-03-20,161,12
05-03-20,228,12
06-03-20,311,15
07-03-20,428,19
08-03-20,547,22
09-03-20,748,26
10-03-20,1018,31
11-03-20,1263,37
12-03-20,1668,43
13-03-20,2224,50
14-03-20,2898,60
15-03-20,3600,68
16-03-20,4507,91
17-03-20,5906,117
18-03-20,8350,162
19-03-20,12393,212
20-03-20,18001,275
21-03-20,24526,358
22-03-20,33063,455
23-03-20,43500,574
24-03-20,53924,769
25-03-20,68530,1039
26-03-20,85558,1345
27-03-20,102829,1758
28-03-20,123723,2287
29-03-20,142397,2702
30-03-20,163863,3356
31-03-20,188413,4290
01-04-20,215161,5315
02-04-20,244619,6542
03-04-20,277262,7902
04-04-20,312498,9466
05-04-20,337959,10828
06-04-20,367568,12330
07-04-20,399352,14579
08-04-20,431169,16673
09-04-20,465859,18772
10-04-20,499325,21028
11-04-20,531042,23105
12-04-20,558182,24785
13-04-20,583940,26547
14-04-20,610615,29246
15-04-20,640637,31994
16-04-20,672243,34264
17-04-20,703740,36626
18-04-20,732121,38571
19-04-20,757475,40089
20-04-20,784761,41919
21-04-20,810249,44587
22-04-20,839017,46955
23-04-20,872805,49123
24-04-20,909530,51250
25-04-20,943802,53210
26-04-20,970409,54465
27-04-20,993747,56022
28-04-20,1018399,58416
29-04-20,1045102,60930
30-04-20,1075517,63140
01-05-20,1109476,64902
02-05-20,1138944,66485
03-05-20,1165013,67816
04-05-20,1186965,68905
05-05-20,1210669,71139
06-05-20,1235174,73847
07-05-20,1263668,75805
08-05-20,1291329,77380
09-05-20,1316167,78834
10-05-20,1336478,79765
11-05-20,1354096,80747
12-05-20,1376388,82400
13-05-20,1397520,84168
14-05-20,1424474,85906
15-05-20,1450700,87499
16-05-20,1474351,88724
17-05-20,1493350,89568
18-05-20,1515177,90414
19-05-20,1536129,91934
20-05-20,1559003,93406
21-05-20,1584826,94721
22-05-20,1608710,96010
23-05-20,1630912,97060
24-05-20,1651004,97680
25-05-20,1670101,98190
26-05-20,1688958,98937
27-05-20,1707719,100422
28-05-20,1730190,101626
29-05-20,1730190,101626
